,time_s,flux,flux_err,delta_t
499766,233956219.2628139,9161.2041015625,33.17993927001953,1039.99
499767,233956299.2619412,9259.796875,33.30503845214844,80.0
499768,233956319.26172268,9194.3017578125,33.19209671020508,20.0
499769,233956339.26150483,9157.416015625,33.17066955566406,20.0
499770,233956359.2612863,9145.6435546875,33.15008544921875,20.0
499771,233956379.26106846,9134.669921875,33.107666015625,20.0
499772,233956419.26063213,9204.8681640625,33.21329879760742,40.0
499773,233956459.26019585,9059.3623046875,33.12005615234375,40.0
499774,233956579.25888747,9143.6611328125,33.185543060302734,120.0
499775,233956599.2586696,9035.1025390625,33.10266876220703,20.0
499776,233956619.2584511,9278.9501953125,33.2773323059082,20.0
499777,233956639.25823334,9062.1337890625,33.11259460449219,20.0
499778,233956659.25801542,9073.69140625,33.13084030151367,20.0
499779,233956679.25779688,9175.0126953125,33.16438293457031,20.0
499780,233956699.25757906,9082.146484375,33.12931442260742,20.0
499781,233956719.25736123,9118.7109375,33.15369415283203,20.0
499782,233956739.25714275,9139.90625,33.14874267578125,20.0
499783,233956759.2569249,9083.9482421875,33.12840270996094,20.0
499784,233956779.25670707,9230.3681640625,33.232276916503906,20.0
499785,233956799.25648916,9197.5517578125,33.2069206237793,20.0
499786,233956839.25605288,9117.4853515625,33.17062759399414,40.0
499787,233956859.25583503,9102.9404296875,33.15024185180664,20.0
499788,233956879.25561652,9141.7578125,33.162330627441406,20.0
499789,233956899.25539875,9124.953125,33.15724563598633,20.0
499790,233956919.25518084,9203.51953125,33.210018157958984,20.0
499791,233956939.254963,9162.6748046875,33.182464599609375,20.0
499792,233956959.25474516,9110.6650390625,33.1279296875,20.0
499793,233956979.2545266,9125.458984375,33.16188430786133,20.0
499794,233956999.2543087,9056.951171875,33.09389877319336,20.0
499795,233957019.25409088,9143.7392578125,33.18632125854492,20.0
499796,233957039.253873,9143.90625,33.12539291381836,20.0
499797,233957059.25365517,9200.5205078125,33.189449310302734,20.0
499798,233957079.2534367,9102.296875,33.11514663696289,20.0
499799,233957099.25321883,9126.5185546875,33.1123161315918,20.0
499800,233957119.25300097,9028.0361328125,33.09884262084961,20.0
499801,233957139.25278318,9190.201171875,33.312652587890625,20.0
499802,233957159.25256523,9151.296875,33.135520935058594,20.0
499803,233957179.25234747,9185.310546875,33.1893310546875,20.0
499804,233957199.25212896,9182.521484375,33.2031135559082,20.0
499805,233957219.2519111,9106.1259765625,33.12572479248047,20.0
499806,233957239.25169328,9107.1123046875,33.160213470458984,20.0
499807,233957259.25147545,9185.5,33.18777084350586,20.0
499808,233957279.25125754,9061.1865234375,33.10969543457031,20.0
499809,233957299.2510397,9158.2109375,33.168006896972656,20.0
499810,233957319.2508219,9144.7421875,33.142982482910156,20.0
499811,233957339.250604,9183.6826171875,33.18579864501953,20.0
499812,233957359.25038618,9073.1884765625,33.08769989013672,20.0
499813,233957379.25016773,9180.0185546875,33.161865234375,20.0
499814,233957399.24994984,9250.318359375,33.213348388671875,20.0
499815,233957419.249732,9159.0556640625,33.16361618041992,20.0
499816,233957439.24951416,9088.09375,33.13178253173828,20.0
499817,233957459.24929625,9172.7607421875,33.15946578979492,20.0
499818,233957599.24777135,9165.3154296875,33.15009689331055,140.0
499819,233957619.2475535,9115.09765625,33.146034240722656,20.0
499820,233957639.24733555,9254.4716796875,33.238189697265625,20.0
499821,233957659.2471177,9165.2431640625,33.166770935058594,20.0
499822,233957739.2462463,9141.125,33.13985061645508,80.0
499823,233957759.24602845,9149.1865234375,33.125282287597656,20.0
499824,233957819.24537548,9054.4990234375,33.08278274536133,60.0
499825,233957839.2451577,9083.9658203125,33.099727630615234,20.0
499826,233957879.24472198,9114.4892578125,33.1148681640625,40.0
499827,233957899.24450415,9120.5654296875,33.130741119384766,20.0
499828,233957919.24428633,9127.900390625,33.11940002441406,20.0
499829,233957939.2440684,9187.5458984375,33.335906982421875,20.0
499830,233957959.24385053,9067.0087890625,33.11827087402344,20.0
499831,233957979.24363273,9148.94921875,33.1368522644043,20.0
499832,233957999.2434155,9110.705078125,33.0914192199707,20.0
499833,233958019.24319762,9149.37890625,33.11225128173828,20.0
499834,233958039.24297976,9144.0693359375,33.15335464477539,20.0
499835,233958059.24276197,9147.083984375,33.137664794921875,20.0
499836,233958079.24254403,9032.9189453125,33.05043029785156,20.0
499837,233958099.24232626,9200.4375,33.190185546875,20.0
499838,233958119.24210903,9265.9677734375,33.22134017944336,20.0
