TIC sector
229639216 40
267484897 47
141479174 38
233690596 40
141810080 36
272128326 38
284195833 29
230127302 41
219773482 53
140943185 64
236899387 56
279957399 62
303866507 38
176956893 38
288638522 41
278777070 27
314865962 27
198409739 47
280068946 53
307785290 32
233658025 53
41592615 61
32000460 39
219852882 40
220477045 33
256299213 52
238188583 27
219090281 56
299832907 63
198241702 40
159331746 52
229690324 54
306511307 62
219852882 56
271596225 64
281634912 32
306574570 31
199550243 40
159331746 41
232617075 54
150139182 35
271723402 37
231815570 33
149540525 32
235676989 41
30853028 61
233051394 54
288638522 52
260162387 39
229552665 55
25078597 34
319259194 32
150164875 31
287197149 58
29830830 35
293271232 31
55653157 64
229589015 41
261138245 32
276861788 34
229444906 53
237920961 63
256456773 54
271638135 64
300808454 36
150164875 27
329247061 40
177309385 36
260967812 63
307785290 62
323132914 38
160424054 56
294205275 31
300600555 62
230092485 59
141610486 27
272357134 39
150185574 33
55652896 33
238195769 27
177077336 34
278055081 63
220411843 64
229777486 58
167339584 31
229582807 52
243279554 53
141411201 62
278270821 61
141610486 31
140802488 33
258830386 55
231729342 33
150098860 32
294205275 27
38515329 34
177310181 28
229459070 53
229675701 60
237251983 54
150063627 31
55298271 63
177308364 62
288514307 55
233006203 57
167009292 64
141606660 30
236906222 55
341628692 34
141810080 64
229589015 60
219790978 41
219780306 56
142110261 62
233617847 55
55604374 29
278779899 36
264871967 37
277291895 29
159511543 53
260351540 39
233658025 57
309703910 35
219780306 40
159331746 60
229582807 41
219762237 58
219780306 59
199549199 57
177115354 38
230073581 47
230387153 56
300703521 61
294626591 35
257004995 47
219821654 54
259097905 54
150144415 38
89328464 37
269697130 41
232677093 58
278779899 28
167415800 64
32036692 34
270491267 53
219757430 57
293225274 64
142144594 64
140580497 64
281634912 62
41035485 63
220422056 63
230119661 48
264871967 61
307434940 37
150139182 33
142085842 61
219777482 47
220412239 63
156507936 47
260709282 33
140997242 36
233682504 53
271972426 38
279572957 37
261138245 27
341873554 56
293271581 31
261107827 64
287426689 27
334299463 40
300809119 33
258874821 53
230396780 58
230073581 54
289572157 48
140527781 61
219821654 47
25155310 29
230077650 58
156463865 40
279741379 61
306932279 63
55557707 29
341873554 59
238069953 34
150393049 34
230076546 52
167526213 35
334299463 59
243315463 41
155633373 41
271893367 27
142110261 31
300241371 36
260640693 39
167751145 37
229609853 54
281634912 27
288603254 53
150360766 62
150357613 63
232616596 54
177116487 36
237949640 39
141268467 62
300086410 35
149540525 31
229738635 60
307780535 32
281634912 31
306574570 32
140997242 28
230394586 53
150428135 64
219777482 54
271893367 31
142110261 27
279475245 33
260192346 64
138469142 60
140527781 37
230072155 52
309780483 38
300241371 28
237097184 53
220414682 39
230387399 41
160536086 52
149347480 32
293271232 32
278865869 33
319259194 31
309755088 36
255701070 32
149575726 30
341490108 36
237100197 54
259130275 56
229747848 54
308457039 38
310028784 37
307434940 29
167203674 28
230072155 41
299943844 63
294205275 62
220436223 33
55525572 28
150249155 34
258829890 56
259130275 40
238195769 62
230390765 54
260043481 62
140830390 34
33878688 39
198457103 58
160536086 41
29831118 37
277291895 61
141610050 64
149603524 33
258829890 40
149503727 39
231097055 31
287195157 54
258829890 59
261136679 39
149039372 35
259130275 59
340699092 61
167720983 28
237933451 34
141482386 29
220411786 39
179441174 62
141770198 64
219898786 48
150151262 63
140898575 63
230385952 53
306894095 35
179317684 29
230136419 53
149990841 34
261259521 28
300510333 27
232681995 55
271595936 35
300325379 34
230076546 41
220454990 64
230062604 41
279319721 32
294399068 28
167814656 64
231097055 27
256298645 53
47729555 53
237251983 47
165553746 55
219090281 49
199666369 47
179201407 33
300510333 31
31189268 37
150063627 62
238188583 32
167203674 36
198277670 55
198241702 49
309755088 28
140800765 39
138471905 59
177306969 39
237251996 54
29831118 61
138471905 40
40898510 30
267542959 55
149601557 35
229673565 55
55452078 39
167720983 36
278777070 32
261258146 39
55604374 37
219881618 47
167339584 62
55604274 63
233051394 47
142109251 61
142106969 63
188836205 58
307958020 53
160603848 41
219846750 59
306512813 63
160473764 40
149990841 39
279475245 35
149347480 62
41035485 30
159334198 48
278865869 35
300138745 33
149503727 34
259172391 54
220411786 34
288516176 55
325608401 38
155633373 60
281631335 27
261136679 34
38510324 64
256456773 47
300086410 33
219846750 56
140830390 39
282087670 63
229690324 50
219861041 53
284195833 61
150187916 61
142086812 36
33878688 34
139370701 36
219846750 40
232617075 47
229640204 41
166972537 61
160473764 59
150249155 39
300443029 29
141770198 36
272196057 63
55401680 37
256298645 57
307780535 62
230385952 57
231729308 31
55525572 64
55452078 34
261258146 34
233660408 55
167526213 33
55401680 61
317300584 27
300970893 38
167415965 39
294870168 61
149539158 61
230136419 57
236000210 40
264222219 54
238372645 34
220454990 36
40405143 64
271698614 33
167889542 61
177306969 34
38939275 61
284195833 37
220428894 64
167720983 64
229738635 41
198181431 41
236000210 59
233046463 40
235980310 47
237292927 47
281631335 31
142086812 28
300325379 39
219012849 48
261259521 64
272322827 61
288636342 54
142109251 37
141029712 64
300809119 35
198206331 47
260640693 34
149601557 33
25132314 38
150141471 61
219778329 55
141610486 32
198181431 52
160535351 40
160424054 49
198206331 50
141606660 63
198364155 54
219894679 55
150428135 28
167339584 32
238069953 39
140997242 64
149422364 34
289622310 59
260266502 36
160535351 56
237292927 50
259237827 58
231824922 33
219877118 47
150357935 38
278777070 62
300241371 64
270526492 48
149302744 27
294781547 28
262614905 38
55478693 34
149932785 62
279319721 62
275692427 55
167794129 38
289622310 40
32072326 28
267484897 54
160535351 59
306779124 29
138469142 52
289540793 49
140576174 36
231091547 28
233580734 48
294783597 64
229612173 55
278055081 30
238188583 62
289622310 56
150063627 32
230072155 60
188768068 40
41533357 33
300739852 30
229448538 55
142086813 37
328998344 59
288603254 57
219865365 53
55363662 64
150428135 36
278730120 61
294981566 32
229690324 47
294747598 61
288609401 59
229640204 52
309792357 37
306894095 33
261107827 28
177238322 30
149601126 31
219212899 31
294205275 32
41488282 37
41089555 64
220436223 35
149059708 29
160618897 41
160603848 52
306577335 63
55404385 64
219751364 49
231091547 36
256456773 50
233051394 50
38827910 32
150432211 30
32072326 36
198409739 54
41259805 34
238195769 32
237949640 34
268041638 36
167339584 36
306779124 33
219898786 41
260266502 32
224605859 60
294626591 37
341816971 53
237251983 49
141029712 62
199666369 49
89328464 35
30853028 33
167719618 63
294981566 28
198409739 59
308543986 38
231815570 61
219881618 49
198409739 40
233580734 60
264871967 35
207491333 49
140691463 37
141628215 61
177310181 27
150357935 63
158000309 47
294205275 28
150063627 36
55525572 62
150428703 38
277108325 39
229797408 55
238195769 28
198409739 56
141606660 38
55741018 64
40405143 62
309257814 28
236906222 58
29986479 31
288609401 54
270526492 60
294981566 36
198364155 40
229997470 53
140894354 61
277301936 38
177310181 31
256324377 54
220391763 35
29986479 27
307780535 64
141608198 30
141628215 37
149059708 33
278683844 34
307434940 35
160535351 54
233068587 56
167339584 28
306577335 38
271723402 33
231815570 37
309257814 36
32072326 32
150322340 30
233690596 47
294093302 39
177309385 31
141527965 34
238195769 36
306894095 29
179317684 35
188768068 54
230062604 48
230076546 48
267484897 56
232641526 55
294205275 36
38510324 62
150063627 28
233691740 60
229650439 50
176872276 38
149039372 29
229639216 47
300242735 62
342679502 34
141482386 35
341490108 62
38906005 39
289622310 54
149347480 64
219104971 57
264222219 40
300038935 33
155633373 48
231815113 34
55404385 62
278594030 38
233690596 50
264222219 56
300086410 29
282087670 38
150064391 39
55363662 62
278779899 27
300138745 29
340179086 61
159212711 59
288636342 40
220477045 37
141945095 34
329247061 47
289572157 41
167810285 38
269596978 41
230085290 58
179037029 61
233046463 54
220454990 32
149932785 64
141269997 34
264221449 57
233617847 58
278779899 31
259172391 40
149121385 39
300241371 62
229744770 55
229617663 60
167695608 30
294783597 62
269701147 59
261397368 34
219750901 53
167205241 39
232606278 59
230387399 48
177119085 34
219846750 54
219762237 55
55758201 61
271698614 29
177115354 30
232606278 40
272749536 53
167004255 39
219852882 50
233011886 60
55272404 33
219012849 60
278777070 64
232606278 56
55557707 35
140997242 62
300970893 63
229617663 52
268041638 62
294399068 32
179317684 33
140898575 38
260639999 31
48023276 52
270526492 41
260192346 62
278775103 34
309755088 32
233580734 41
260474813 63
40601527 63
150064391 34
167888736 34
38510324 32
238188583 28
219780306 50
30037565 34
141268467 64
269698397 58
150300935 61
150360766 64
219750901 57
149603524 29
219751364 47
271723402 35
264221449 53
308457039 63
220436223 29
149059708 35
278777070 28
294748147 61
233011886 52
310133917 63
150139182 37
150139182 61
141479174 30
219877118 49
237100197 56
229747848 56
259130275 54
238188583 36
167203674 32
55604274 38
220415088 63
258829890 54
160618897 48
280031353 41
295072161 64
229747848 40
237100197 40
160424054 47
256517649 55
55663264 64
237292969 54
272128326 30
233609595 47
272194883 30
141810080 31
159334198 52
30631031 34
294273900 61
278777070 36
314865962 36
167205241 34
229747848 59
219794415 53
177119085 39
261397368 39
260266502 62
141269997 39
198236520 52
233160374 57
230092485 47
30853028 35
256516499 50
219104971 53
230128292 58
288104349 39
219863212 53
179201407 29
261107827 62
55652896 61
141807629 34
231729342 37
260079513 30
198236520 41
306574570 28
167339584 64
233738219 57
229765298 55
167163906 39
219777482 56
229640204 48
160603848 48
150146541 61
237951156 34
31381302 37
167814656 62
41173308 61
258630311 55
279324004 27
25155310 33
219777482 59
237292927 49
229997470 57
261331895 61
159334198 41
55523561 30
150063627 64
310002065 40
160439300 53
279324004 31
298649072 54
179441174 64
230073581 40
219751364 50
307780535 36
286069970 35
229738635 48
38906005 34
199608168 59
299901449 61
257004995 40
279741177 61
219012849 41
224605859 52
294205275 64
149347480 36
270526492 52
219780306 47
293271232 36
300038935 35
278683844 39
150164875 36
55497281 63
233580734 52
150185574 37
141610050 62
198211976 50
300808454 31
230073581 59
237292969 50
219814166 52
256385279 60
235929979 58
306739511 39
31189268 33
167042097 64
33714944 36
309655922 62
160438869 52
229589015 48
277291895 33
38846515 39
149603524 61
220391375 39
38954456 39
165305800 41
235687559 54
237217532 52
220436223 61
281631335 36
309702890 34
235676989 48
159331746 48
142019343 61
150390490 39
269701147 49
220436223 37
55850237 64
219780306 54
300600555 64
219821654 59
232618367 48
149603524 37
29831118 33
232540264 53
281631335 28
156463865 47
33714875 33
142086813 35
167012000 61
219821654 40
259097905 40
38633493 39
139370701 31
260128333 39
284481031 55
219821654 56
279324004 62
199666369 59
269663324 52
150185574 29
300560295 39
198384408 60
229448538 58
281634912 64
160602762 41
55652896 29
198409739 49
219881618 40
142144594 62
140580497 62
271893367 64
219737890 48
138471905 47
55401680 35
207491333 56
149388265 34
38811498 34
150098860 28
280909705 38
233730340 53
219881618 56
150322340 63
140527781 33
287774787 63
38469670 39
279475245 37
278776511 63
303870255 64
198211976 54
306739391 29
199666369 56
231091547 31
340459410 34
261107827 27
287426689 64
293225274 62
219881618 59
275633056 60
229797764 58
272088627 29
260709282 61
199666369 40
278865869 37
237251983 40
220473309 31
167415800 62
294781547 31
207491333 59
150432211 38
177309385 32
231091547 27
261107827 31
219778329 58
140827588 34
229684206 41
150098860 36
141280255 61
219212899 28
289540793 54
25132314 30
237217532 41
230092485 54
150357935 30
260266502 31
294781547 27
142109251 35
219894679 58
32072326 27
279741177 29
259237827 55
231123352 63
140802488 29
142110261 64
167794129 30
229713743 41
141810080 62
275692427 58
141127541 64
29986479 32
198364155 49
284195833 35
233609595 54
167751145 33
278055081 38
237292969 47
268393135 52
229675701 48
229612173 58
142086813 33
141609430 63
41533357 61
198206331 40
149540525 36
237933846 61
160535351 50
229582807 48
177116487 31
281634912 36
309792357 33
271595936 61
279324004 32
279977464 41
329247061 54
271893367 36
235980310 40
300241371 27
141628215 29
235980310 59
219777482 49
229650439 54
236000210 47
41488282 33
289622310 50
300808454 32
140997242 27
300560295 34
256385279 41
29831118 35
141627237 33
232616596 49
287426689 36
303870255 36
142146238 31
140997242 31
199550243 54
271893367 28
149601557 37
219846750 47
219822564 55
271972426 30
230119661 41
309703910 29
167889402 61
255587619 38
281634912 28
277291895 35
198384408 52
219112414 53
233051394 56
257004995 49
294626591 29
140830392 64
233730340 57
271595936 37
288609401 50
233051394 40
41533357 37
256456773 56
31189268 35
29986479 62
141810080 32
309702890 39
328998344 47
287776397 64
237204273 58
38846515 34
341873883 51
235678745 51
219091640 51
289572157 51
229955280 51
275692427 51
4300064 60
7985934 46
9959127 60
4298631 60
2778003 43
4385083 60
4844773 48
10185341 49
11737750 60
10473978 52
3033448 43
9171372 60
4007712 43
6139539 44
10024127 47
10022750 47
5808123 44
